0.208,0.0399336,0.999524,0.999519,0.99957,0.99954,0.999637,0.999569,0.999521,0.999598,0.999423,0.999395,0.998354,0.996261,0.982719,0.937546,0.792075,0.506321,0.209242,0.0618469,0.0161493,0.00372739,0.00089035,0.0000462493,0.000122176,0.0000450917,6.77177e-6,6.77389e-6,6.77591e-6,6.77784e-6,6.77967e-6,6.78142e-6,6.78307e-6
0.224,0.0438136,0.999466,0.999462,0.99952,0.999486,0.999592,0.999515,0.99946,0.99955,0.999372,0.999334,0.998304,0.996202,0.98266,0.937489,0.792028,0.506288,0.20923,0.0618441,0.0161489,0.00372908,0.000892509,0.0000484695,0.000124288,0.0000471569,8.84371e-6,8.84685e-6,8.84984e-6,8.8527e-6,8.85542e-6,8.85801e-6,8.86045e-6
0.24,0.0474266,0.999409,0.999405,0.999472,0.999432,0.999548,0.99946,0.999399,0.999503,0.999322,0.999272,0.998253,0.996143,0.982601,0.937433,0.791981,0.506254,0.209218,0.0618415,0.0161488,0.00373113,0.000895042,0.0000510734,0.000126782,0.0000496006,0.0000112954,0.0000112999,0.0000113042,0.0000113083,0.0000113122,0.0000113159,0.0000113194
0.256,0.0507269,0.999352,0.999349,0.999424,0.999379,0.999503,0.999406,0.999339,0.999456,0.999273,0.99921,0.998203,0.996084,0.982543,0.937377,0.791935,0.506221,0.209205,0.0618391,0.0161491,0.00373356,0.000897964,0.0000540806,0.000129676,0.0000524432,0.0000141477,0.000014154,0.00001416,0.0000141657,0.0000141711,0.0000141762,0.000014181
0.272,0.0536801,0.999296,0.999295,0.999378,0.999328,0.99946,0.999353,0.999279,0.999411,0.999224,0.999149,0.998153,0.996025,0.982484,0.937321,0.791889,0.506188,0.209194,0.0618369,0.0161497,0.00373641,0.000901289,0.0000575063,0.000132988,0.0000557003,0.0000174167,0.0000174252,0.0000174333,0.000017441,0.0000174483,0.0000174552,0.0000174616
0.288,0.0562639,0.999243,0.999243,0.999334,0.999279,0.999417,0.999301,0.99922,0.999367,0.999178,0.999089,0.998105,0.995967,0.982427,0.937268,0.791846,0.506156,0.209182,0.0618351,0.0161507,0.00373968,0.000905026,0.00006136,0.000136725,0.0000593821,0.0000211133,0.0000211246,0.0000211352,0.0000211454,0.000021155,0.000021164,0.0000211725
0.304,0.0584666,0.999191,0.999193,0.999292,0.999233,0.999376,0.99925,0.999162,0.999325,0.999133,0.999031,0.998058,0.995911,0.982371,0.937216,0.791804,0.506124,0.209171,0.0618337,0.0161521,0.00374339,0.000909176,0.0000656468,0.000140895,0.000063494,0.0000252433,0.0000252579,0.0000252717,0.0000252847,0.0000252971,0.0000253087,0.0000253196
0.32,0.0602863,0.999141,0.999146,0.999253,0.999189,0.999336,0.999202,0.999107,0.999286,0.99909,0.998974,0.998013,0.995856,0.982316,0.937166,0.791764,0.506094,0.209161,0.0618326,0.0161539,0.00374753,0.000913738,0.0000703665,0.000145496,0.0000680362,0.0000298077,0.0000298261,0.0000298435,0.00002986,0.0000298756,0.0000298902,0.0000299038
0.336,0.0617295,0.999094,0.999101,0.999216,0.999147,0.999298,0.999155,0.999053,0.999249,0.99905,0.998919,0.99797,0.995803,0.982264,0.937119,0.791726,0.506065,0.209151,0.061832,0.0161561,0.00375211,0.000918707,0.0000755144,0.000150524,0.0000730044,0.0000348024,0.0000348253,0.000034847,0.0000348674,0.0000348867,0.0000349047,0.0000349214
0.352,0.0628095,0.99905,0.999059,0.999182,0.999109,0.999261,0.99911,0.999002,0.999215,0.999012,0.998867,0.997929,0.995751,0.982212,0.937074,0.791691,0.506037,0.209141,0.0618319,0.0161588,0.00375712,0.000924072,0.0000810813,0.00015597,0.0000783897,0.0000402192,0.0000402473,0.0000402737,0.0000402986,0.000040322,0.0000403438,0.000040364
